language,dimension,feature_index,feature_name,dtype,n_missing,missing_rate,n_unique,most_frequent_value_ratio,zero_variance,near_zero_variance_95pct_same_value,suspicious_name,min,max,mean,std
en,d3_cultural_factors,105,focusfuture,float64,0,0.0,62,0.6797,False,False,False,0.0,13.333,0.9654329004329005,1.8904793511170157
en,d3_cultural_factors,106,Conversation,float64,0,0.0,40,0.8182,False,False,False,0.0,5.263,0.3981688311688311,0.9934574418481198
en,d3_cultural_factors,107,netspeak,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d3_cultural_factors,108,assent,float64,0,0.0,39,0.8182,False,False,False,0.0,5.263,0.3933073593073593,0.9870982136446136
en,d3_cultural_factors,109,nonflu,float64,0,0.0,2,0.9957,False,True,False,0.0,1.124,0.004865800865800866,0.07395377051347804
en,d3_cultural_factors,110,filler,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d3_cultural_factors,111,AllPunc,float64,0,0.0,140,0.026,False,False,False,1.429,25.806,11.351935064935066,4.989269645090078
en,d3_cultural_factors,112,Period,float64,0,0.0,103,0.2424,False,False,False,0.0,10.0,2.945277056277056,2.358747932667372
en,d3_cultural_factors,113,Comma,float64,0,0.0,96,0.3853,False,False,False,0.0,18.519,3.3248398268398267,3.4846858489019295
en,d3_cultural_factors,114,QMark,float64,0,0.0,89,0.316,False,False,False,0.0,17.647,2.9890303030303036,3.1741440508583527
en,d3_cultural_factors,115,Exclam,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d3_cultural_factors,116,Apostro,float64,0,0.0,84,0.4632,False,False,False,0.0,16.667,2.0412251082251083,2.671008795172449
en,d3_cultural_factors,117,OtherP,float64,0,0.0,9,0.9654,False,True,False,0.0,3.333,0.05158008658008659,0.32635576925109006
en,d3_cultural_factors,118,Emoji,int64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
